
-27 &H:57:09: Training starting...

-27 &H:57:14: New best reward 21.0 (-100.0%) at episode 0, saving model...

-27 &H:57:14: New best reward 41.0 (-100.0%) at episode 0, saving model...

-27 &H:57:14: New best reward 31.0 (+47.6%) at episode 4, saving model...

-27 &H:57:14: New best reward 38.0 (+22.6%) at episode 13, saving model...

-27 &H:57:14: New best reward 74.0 (+80.5%) at episode 12, saving model...

-27 &H:57:14: New best reward 56.0 (+47.4%) at episode 18, saving model...

-27 &H:57:14: New best reward 62.0 (+10.7%) at episode 30, saving model...

-27 &H:57:14: New best reward 64.0 (+3.2%) at episode 36, saving model...

-27 &H:57:14: New best reward 70.0 (+9.4%) at episode 38, saving model...

-27 &H:57:16: New best reward 75.0 (+7.1%) at episode 108, saving model...

-27 &H:57:17: New best reward 78.0 (+5.4%) at episode 182, saving model...

-27 &H:57:17: New best reward 104.0 (+38.7%) at episode 230, saving model...

-27 &H:05:39: New best reward 114.0 (+9.6%) at episode 28636, saving model...

-27 &H:05:42: New best reward 185.0 (+62.3%) at episode 28719, saving model...

-27 &H:06:16: New best reward 216.0 (+16.8%) at episode 30538, saving model...

-27 &H:07:08: New best reward 229.0 (+6.0%) at episode 31894, saving model...

-27 &H:24:06: New best reward 301.0 (+31.4%) at episode 40980, saving model...

-27 &H:34:28: New best reward 484.0 (+60.8%) at episode 59033, saving model...

-27 &H:50:06: New best reward 551.0 (+13.8%) at episode 75723, saving model...

-27 &H:15:59: New best reward 579.0 (+5.1%) at episode 95857, saving model...

-27 &H:52:02: New best reward 1142.0 (+97.2%) at episode 123937, saving model...

-27 &H:56:06: New best reward 1255.0 (+9.9%) at episode 124755, saving model...

-27 &H:57:04: New best reward 1267.0 (+1.0%) at episode 124846, saving model...

-27 &H:10:22: New best reward 1290.0 (+1.8%) at episode 128542, saving model...

-27 &H:12:38: New best reward 2122.0 (+64.5%) at episode 129554, saving model...

-27 &H:13:53: New best reward 2326.0 (+9.6%) at episode 135831, saving model...
