06-27 22:15:25: Training starting...
06-27 22:15:35: New best reward -8.1 (-100.0%) at episode 0, saving model...
06-27 22:15:35: New best reward -6.9 (-14.8%) at episode 2, saving model...
06-27 22:15:35: New best reward -5.7 (-17.4%) at episode 5, saving model...
06-27 22:15:37: New best reward -5.1 (-10.5%) at episode 14, saving model...
06-27 22:15:39: New best reward -3.9 (-23.5%) at episode 38, saving model...
06-27 22:15:49: New best reward -2.1 (-46.2%) at episode 213, saving model...
06-27 22:15:49: New best reward -1.5 (-28.6%) at episode 215, saving model...
06-27 22:17:01: New best reward 2.1 (-240.0%) at episode 1576, saving model...
06-27 22:17:15: New best reward 3.9 (+85.7%) at episode 1858, saving model...
06-27 22:27:15: New best reward 4.0 (+2.6%) at episode 9857, saving model...
06-27 22:31:03: New best reward 4.5 (+12.5%) at episode 11360, saving model...
06-27 22:31:15: New best reward 5.0 (+11.1%) at episode 11540, saving model...
06-27 22:32:44: New best reward 6.1 (+22.0%) at episode 12834, saving model...
06-27 22:34:24: New best reward 6.6 (+8.2%) at episode 14340, saving model...
06-27 22:36:58: New best reward 8.4 (+27.3%) at episode 16498, saving model...
06-27 22:43:36: New best reward 10.6 (+26.2%) at episode 21601, saving model...
06-28 13:31:08: New best reward 11.2 (+5.7%) at episode 35022, saving model...
06-29 12:41:55: New best reward 12.9 (+15.2%) at episode 192388, saving model...
06-29 12:44:08: New best reward 13.6 (+5.4%) at episode 193236, saving model...
06-29 13:31:07: New best reward 13.8 (+1.5%) at episode 194578, saving model...
06-29 13:31:16: New best reward 15.2 (+10.1%) at episode 194601, saving model...
06-29 13:31:27: New best reward 15.5 (+2.0%) at episode 194623, saving model...
06-29 13:32:34: New best reward 18.8 (+21.3%) at episode 195126, saving model...
06-29 13:36:46: New best reward 22.4 (+19.1%) at episode 196874, saving model...
06-29 13:36:47: New best reward 23.4 (+4.5%) at episode 196878, saving model...
06-29 13:43:06: New best reward 26.9 (+15.0%) at episode 199369, saving model...
06-29 14:30:24: New best reward 27.2 (+1.1%) at episode 201824, saving model...
06-29 17:03:26: New best reward 34.2 (+25.7%) at episode 203277, saving model...
06-29 17:11:29: New best reward 36.4 (+6.4%) at episode 206707, saving model...
06-29 17:48:37: New best reward 48.3 (+32.7%) at episode 209140, saving model...
06-29 18:46:36: New best reward 55.6 (+15.1%) at episode 220000, saving model...
